Date,ULTAStoreNo,City,TotalQtySold,TotalGrossSales
{"":"2024-08-18,339,Huntsville               ,12,502.5
{"":"2024-08-18,341,Mason                    ,19,974
{"":"2024-08-18,342,Allen Park               ,22,933.5
{"":"2024-08-18,343,Kansas City              ,10,333.5
{"":"2024-08-18,344,Shreveport               ,18,793.5
{"":"2024-08-18,345,Pleasant Prairie         ,14,957
{"":"2024-08-18,347,Weatherford              ,17,861.5
{"":"2024-08-18,348,Portage                  ,6,281
{"":"2024-08-18,349,Okemos                   ,5,174
{"":"2024-08-18,350,Macon                    ,0,0
{"":"2024-08-18,351,Rochester                ,19,753.5
{"":"2024-08-18,352,Toledo                   ,11,252.5
{"":"2024-08-18,353,Brentwood                ,30,1538
{"":"2024-08-18,354,Gilbert                  ,15,591
{"":"2024-08-18,355,Oro Valley               ,13,681.8
{"":"2024-08-18,356,Queen Creek              ,24,1064
{"":"2024-08-18,357,Midwest City             ,6,249
{"":"2024-08-18,358,San Diego                ,9,265.5
{"":"2024-08-18,359,Yorkville                ,20,860
{"":"2024-08-18,360,Hagerstown               ,22,914
{"":"2024-08-18,361,San Antonio              ,19,806.5
{"":"2024-08-18,362,Collegeville             ,23,1129
{"":"2024-08-18,363,West Melbourne           ,21,1013
{"":"2024-08-18,364,Port Orange              ,25,1459
{"":"2024-08-18,365,Wichita Falls            ,17,791
{"":"2024-08-18,366,Sterling                 ,24,838.5
{"":"2024-08-18,367,Annapolis                ,44,2125.5
{"":"2024-08-18,368,Greenville               ,13,517
{"":"2024-08-18,369,Allentown                ,21,885.5
{"":"2024-08-18,370,Rockford                 ,20,1143
{"":"2024-08-18,371,Riverdale                ,11,444.5
{"":"2024-08-18,372,Kingsport                ,2,97
{"":"2024-08-18,373,Hammond                  ,10,445.5
{"":"2024-08-18,374,Sunset Valley            ,38,1871.5
{"":"2024-08-18,375,Chesterfield             ,17,711
{"":"2024-08-18,376,Asheville                ,24,1005.5
{"":"2024-08-18,377,Jacksonville             ,30,990
{"":"2024-08-18,378,Manahawkin               ,19,963.5
{"":"2024-08-18,379,Opelika                  ,9,434
{"":"2024-08-18,380,Virginia Beach           ,10,486.5
{"":"2024-08-18,382,Palmdale                 ,25,1336
