Date,SEPHORAStoreNo,TotalQtySold,TotalGrossSales
{"":"2024-08-18,0154,12,690
{"":"2024-08-18,0156,21,749.5
{"":"2024-08-18,0158,11,606.5
{"":"2024-08-18,0160,6,278.5
{"":"2024-08-18,0162,7,276.5
{"":"2024-08-18,0164,23,1522
{"":"2024-08-18,0166,21,962.5
{"":"2024-08-18,0168,14,835.5
{"":"2024-08-18,0170,5,198
{"":"2024-08-18,0172,33,1472
{"":"2024-08-18,0176,9,353
{"":"2024-08-18,0178,10,610
{"":"2024-08-18,0182,13,640.5
{"":"2024-08-18,0184,10,590
{"":"2024-08-18,0186,27,1287
{"":"2024-08-18,0190,3,147.5
{"":"2024-08-18,0192,21,936
{"":"2024-08-18,0194,11,410
{"":"2024-08-18,0196,17,969
{"":"2024-08-18,0198,36,1885.5
{"":"2024-08-18,0200,30,1434
{"":"2024-08-18,0202,21,712
{"":"2024-08-18,0204,13,621.5
{"":"2024-08-18,0206,11,510
{"":"2024-08-18,0208,15,818.5
{"":"2024-08-18,0210,18,1092
{"":"2024-08-18,0212,5,243.5
{"":"2024-08-18,0214,16,635
{"":"2024-08-18,0218,12,908
{"":"2024-08-18,0220,18,883
{"":"2024-08-18,0222,15,825.5
{"":"2024-08-18,0224,22,1055.5
{"":"2024-08-18,0226,17,919.5
{"":"2024-08-18,0228,10,606.5
{"":"2024-08-18,0232,7,225.5
{"":"2024-08-18,0236,14,712.5
{"":"2024-08-18,0238,7,458
{"":"2024-08-18,0240,19,849
{"":"2024-08-18,0242,37,2162
{"":"2024-08-18,0246,9,386
{"":"2024-08-18,0248,26,1076.5
{"":"2024-08-18,0250,20,929.5
{"":"2024-08-18,0254,22,1047
{"":"2024-08-18,0256,17,645.5
{"":"2024-08-18,0258,11,529.5
{"":"2024-08-18,0260,35,1645.5
{"":"2024-08-18,0262,3,136.5
{"":"2024-08-18,0264,10,510
{"":"2024-08-18,0266,14,576
{"":"2024-08-18,0268,8,302
{"":"2024-08-18,0270,12,434.5
{"":"2024-08-18,0272,7,342
{"":"2024-08-18,0274,16,970.5
{"":"2024-08-18,0276,19,1008.5
{"":"2024-08-18,0278,7,335.5
{"":"2024-08-18,0280,14,708.5
{"":"2024-08-18,0282,12,621.5
{"":"2024-08-18,0284,8,406.5
{"":"2024-08-18,0286,7,228.5
{"":"2024-08-18,0288,10,404
{"":"2024-08-18,0290,20,938
{"":"2024-08-18,0292,3,136.5
{"":"2024-08-18,0294,27,1150.5
{"":"2024-08-18,0296,7,175
{"":"2024-08-18,0298,10,715.5
{"":"2024-08-18,0300,5,48
{"":"2024-08-18,0302,89,3548.5
{"":"2024-08-18,0304,80,4296.5
{"":"2024-08-18,0306,4,78
{"":"2024-08-18,0308,32,1386
{"":"2024-08-18,0310,71,3614.5
{"":"2024-08-18,0312,19,989.5
{"":"2024-08-18,0314,35,1065
{"":"2024-08-18,0316,32,1685
{"":"2024-08-18,0318,37,1628
{"":"2024-08-18,0320,23,911
{"":"2024-08-18,0322,15,494.5
{"":"2024-08-18,0324,6,316
{"":"2024-08-18,0326,23,1154
{"":"2024-08-18,0328,32,1980.5
{"":"2024-08-18,0330,16,611.5
{"":"2024-08-18,0332,28,1636.5
{"":"2024-08-18,0334,18,900.5
{"":"2024-08-18,0336,38,1869
{"":"2024-08-18,0338,14,970.5
{"":"2024-08-18,0340,10,329
{"":"2024-08-18,0346,27,1315.5
